city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
C?m Ph?,Cam Pha,21.0065,107.2726,Vietnam,VN,VNM,Qu?ng Ninh,minor,156000,1704985016
Pandi,Pandi,14.8667,120.95,Philippines,PH,PHL,Bulacan,,155115,1608700526
San Jose,San Jose,12.3528,121.0676,Philippines,PH,PHL,Occidental Mindoro,,153267,1608355709
Poblacion,Poblacion,10.4167,123.9667,Philippines,PH,PHL,Cebu,,153197,1608456191
Mudon,Mudon,16.2618,97.7215,Myanmar,MM,MMR,Mon State,,152300,1104174785
Baubau,Baubau,-5.4667,122.633,Indonesia,ID,IDN,Sulawesi Tenggara,,152143,1360789994
Minglanilla,Minglanilla,10.245,123.7964,Philippines,PH,PHL,Cebu,,151002,1608573791
San Jose,San Jose,15.7833,121,Philippines,PH,PHL,Nueva Ecija,,150917,1608000478
Mariveles,Mariveles,14.4333,120.4833,Philippines,PH,PHL,Bataan,,149879,1608735167
Cao L∆nh,Cao Lanh,10.4603,105.6331,Vietnam,VN,VNM,??ng Th†p,admin,149837,1704276832
Saumlaki,Saumlaki,-7.975,131.3075,Indonesia,ID,IDN,Maluku,minor,149790,1360861988
Sagay,Sagay,10.9,123.4167,Philippines,PH,PHL,Negros Occidental,,148894,1608284971
Santiago,Santiago,16.6833,121.55,Philippines,PH,PHL,Santiago,admin,148580,1608477470
Consolacion,Consolacion,10.4,123.95,Philippines,PH,PHL,Cebu,,148012,1608199695
L?ng S?n,Lang Son,21.8478,106.7578,Vietnam,VN,VNM,L?ng S?n,admin,148000,1704004349
Siem Reap,Siem Reap,13.3622,103.8597,Cambodia,KH,KHM,Siem Reap,admin,147866,1116263015
Mati,Mati,6.95,126.2333,Philippines,PH,PHL,Davao Oriental,admin,147547,1608000731
Cam Ranh,Cam Ranh,11.902,109.2207,Vietnam,VN,VNM,Kh†nh Hïa,,146771,1704104189
Pleiku,Pleiku,13.9715,108.0147,Vietnam,VN,VNM,Gia Lai,admin,146073,1704220080
Calapan,Calapan,13.3667,121.2,Philippines,PH,PHL,Oriental Mindoro,admin,145786,1608578259
Arayat,Arayat,15.1493,120.7692,Philippines,PH,PHL,Pampanga,,144875,1608482411
Urdaneta,Urdaneta,15.9761,120.5711,Philippines,PH,PHL,Pangasinan,,144577,1608117383
Calabayan,Calabayan,16.7667,121.7833,Philippines,PH,PHL,Isabela,,143403,1608955576
Malasiqui,Malasiqui,15.9167,120.4167,Philippines,PH,PHL,Pangasinan,,143094,1608316754
Bocaue,Bocaue,14.8,120.9333,Philippines,PH,PHL,Bulacan,,141412,1608457468
Tabaco,Tabaco,13.35,123.7333,Philippines,PH,PHL,Albay,,140961,1608252596
Porac,Porac,15.0719,120.5419,Philippines,PH,PHL,Pampanga,,140751,1608946840
Ozamiz City,Ozamiz City,8.15,123.85,Philippines,PH,PHL,Misamis Occidental,,140334,1608100412
Batu Pahat,Batu Pahat,1.85,102.93,Malaysia,MY,MYS,Johor,,140000,1458310769
Dawei,Dawei,14.0367,98.1867,Myanmar,MM,MMR,Taninthayi,admin,139900,1104373474
Tanay,Tanay,14.4972,121.2864,Philippines,PH,PHL,Rizal,,139420,1608260734
Dipolog,Dipolog,8.5667,123.3333,Philippines,PH,PHL,Zamboanga del Norte,admin,138141,1608664300
Candelaria,Candelaria,13.9311,121.4233,Philippines,PH,PHL,Quezon,minor,137881,1608579689
TÉn An,Tan An,10.5322,106.4042,Vietnam,VN,VNM,Long An,admin,137498,1704199290
La Trinidad,La Trinidad,16.4621,120.5877,Philippines,PH,PHL,Benguet,admin,137404,1608000107
Jolo,Jolo,6.05,121,Philippines,PH,PHL,Sulu,admin,137266,1608685440
Gunungsitoli,Gunungsitoli,1.1167,97.5667,Indonesia,ID,IDN,Sumatera Utara,minor,137104,1360175198
Gingoog,Gingoog,8.8167,125.1,Philippines,PH,PHL,Misamis Oriental,,136698,1608630986
Nasugbu,Nasugbu,14.0667,120.6333,Philippines,PH,PHL,Batangas,,136524,1608413633
Bima,Bima,-8.4667,118.717,Indonesia,ID,IDN,Nusa Tenggara Barat,,136492,1360521866
Carcar,Carcar,10.1167,123.6333,Philippines,PH,PHL,Cebu,,136453,1608778175
Pageralam,Pageralam,-4.0217,103.2522,Indonesia,ID,IDN,Sumatera Selatan,minor,136244,1360027360
Norzagaray,Norzagaray,14.9167,121.05,Philippines,PH,PHL,Bulacan,,136064,1608520209
Floridablanca,Floridablanca,14.9333,120.5,Philippines,PH,PHL,Pampanga,,135542,1608344732
Pyay,Pyay,18.8165,95.2114,Myanmar,MM,MMR,Bago,,135308,1104978348
Nakhon Ratchasima,Nakhon Ratchasima,14.9736,102.0831,Thailand,TH,THA,Nakhon Ratchasima,admin,134440,1764752197
Dumaguete City,Dumaguete City,9.3103,123.3081,Philippines,PH,PHL,Negros Oriental,admin,134103,1608682936
Daraga,Daraga,13.1619,123.6939,Philippines,PH,PHL,Albay,,133893,1608571209
Hagonoy,Hagonoy,14.8333,120.7333,Philippines,PH,PHL,Bulacan,,133448,1608693751
Naga,Naga,10.2167,123.75,Philippines,PH,PHL,Cebu,,133184,1608928299
San Carlos,San Carlos,10.4929,123.4095,Philippines,PH,PHL,Negros Occidental,,132650,1608048026
Chiang Mai,Chiang Mai,18.7889,98.9833,Thailand,TH,THA,Chiang Mai,admin,132634,1764662886
Talavera,Talavera,15.5839,120.9189,Philippines,PH,PHL,Nueva Ecija,,132338,1608474974
Blitar,Blitar,-8.1,112.15,Indonesia,ID,IDN,Jawa Timur,,132018,1360011677
TrÖ Vinh,Tra Vinh,9.9369,106.3411,Vietnam,VN,VNM,TrÖ Vinh,admin,131360,1704929966
Surat Thani,Surat Thani,9.1397,99.3306,Thailand,TH,THA,Surat Thani,admin,130703,1764338230
Ninh Bçnh,Ninh Binh,20.2581,105.9797,Vietnam,VN,VNM,Ninh Bçnh,admin,130517,1704442748
Angono,Angono,14.5234,121.1536,Philippines,PH,PHL,Rizal,,130494,1608373503
Silay,Silay,10.8,122.9667,Philippines,PH,PHL,Negros Occidental,,130478,1608362038
City of Isabela,City of Isabela,6.7,121.9667,Philippines,PH,PHL,Basilan,admin,130379,1608621038
Udon Thani,Udon Thani,17.4253,102.7902,Thailand,TH,THA,Udon Thani,admin,130274,1764676047
Mojokerto,Mojokerto,-7.4722,112.4336,Indonesia,ID,IDN,Jawa Timur,,130196,1360053101
Battambang,Battambang,13.1028,103.1983,Cambodia,KH,KHM,Battambang,admin,130000,1116106237
Parepare,Parepare,-4.0167,119.6236,Indonesia,ID,IDN,Sulawesi Selatan,,129542,1360021476
Guagua,Guagua,14.9667,120.6333,Philippines,PH,PHL,Pampanga,,128893,1608453085
Santo Tomas,Santo Tomas,7.5333,125.6167,Philippines,PH,PHL,Davao del Norte,,128667,1608792041
Rosario,Rosario,13.846,121.206,Philippines,PH,PHL,Batangas,,128352,1608786784
Guimba,Guimba,15.6581,120.7689,Philippines,PH,PHL,Nueva Ecija,,127653,1608954884
Pakokku,Pakokku,21.332,95.0866,Myanmar,MM,MMR,Magway,,126938,1104161315
TÉy Ninh,Tay Ninh,11.3131,106.0963,Vietnam,VN,VNM,TÉy Ninh,admin,126370,1704250951
San Juan,San Juan,14.6,121.0333,Philippines,PH,PHL,San Juan,admin,126347,1608817515
Magway,Magway,20.15,94.95,Myanmar,MM,MMR,Magway,admin,125973,1104246517
Pangkalpinang,Pangkalpinang,-2.1,106.1,Indonesia,ID,IDN,Kepulauan Bangka Belitung,admin,125933,1360901919
San Fernando,San Fernando,16.6167,120.3167,Philippines,PH,PHL,La Union,admin,125640,1608635527
Payakumbuh,Payakumbuh,-0.2244,100.6325,Indonesia,ID,IDN,Sumatera Barat,,125608,1360091636
Cam Ranh,Cam Ranh,11.9136,109.1369,Vietnam,VN,VNM,Kh†nh Hïa,minor,125311,1704516746
Magelang,Magelang,-7.4706,110.2178,Indonesia,ID,IDN,Jawa Tengah,,124912,1360065728
Magalang,Magalang,15.2167,120.6667,Philippines,PH,PHL,Pampanga,minor,124188,1608172208
M? Tho,My Tho,10.3543,106.364,Vietnam,VN,VNM,Ti?n Giang,admin,124143,1704000376
Savannakhet,Savannakhet,16.55,104.75,Laos,LA,LAO,SavannakhÇt,admin,124000,1418179232
Santa Cruz,Santa Cruz,14.2833,121.4167,Philippines,PH,PHL,Laguna,,123574,1608971699
Indramayu,Indramayu,-6.3356,108.319,Indonesia,ID,IDN,Jawa Barat,minor,123263,1360004807
Gapan,Gapan,15.3075,120.9453,Philippines,PH,PHL,Nueva Ecija,,122968,1608386821
Pati,Pati,-6.7415,111.0347,Indonesia,ID,IDN,Jawa Tengah,minor,122785,1360407556
Bayawan,Bayawan,9.3667,122.8,Philippines,PH,PHL,Negros Oriental,,122747,1608189345
H?i An,Hoi An,15.8777,108.3327,Vietnam,VN,VNM,Qu?ng Nam,,121716,1704897050
Hïa Bçnh,Hoa Binh,20.8175,105.3375,Vietnam,VN,VNM,Hïa Bçnh,admin,121309,1704237072
Tabuk,Tabuk,17.45,121.4583,Philippines,PH,PHL,Kalinga,,121033,1608831439
Kotamobagu,Kotamobagu,0.7333,124.3167,Indonesia,ID,IDN,Sulawesi Utara,,120597,1360015626
Ban Bang Pu Mai,Ban Bang Pu Mai,13.5441,100.6175,Thailand,TH,THA,Samut Prakan,,120058,1764009212
PakxÇ,Pakxe,15.1167,105.7833,Laos,LA,LAO,Champasak,admin,119848,1418863956
Candaba,Candaba,15.0933,120.8283,Philippines,PH,PHL,Pampanga,,119497,1608001625
Calumpit,Calumpit,14.9167,120.7667,Philippines,PH,PHL,Bulacan,,118471,1608584009
Kampong Cham,Kampong Cham,12,105.45,Cambodia,KH,KHM,Kampong Cham,admin,118242,1116115849
Dinalupihan,Dinalupihan,14.8833,120.4667,Philippines,PH,PHL,Bataan,,118209,1608149999
Malita,Malita,6.4,125.6,Philippines,PH,PHL,Davao Occidental,admin,118197,1608802375
Ligao,Ligao,13.2167,123.5167,Philippines,PH,PHL,Albay,,118096,1608907106
Apalit,Apalit,14.9496,120.7587,Philippines,PH,PHL,Pampanga,,117160,1608288417
Samal,Samal,7.05,125.7333,Philippines,PH,PHL,Davao del Norte,,116771,1608425228
Himamaylan,Himamaylan,10.1,122.8667,Philippines,PH,PHL,Negros Occidental,,116240,1608765297
Bongao,Bongao,5.0292,119.7731,Philippines,PH,PHL,Tawi-Tawi,admin,116118,1608490585
Khon Kaen,Khon Kaen,16.4333,102.8333,Thailand,TH,THA,Khon Kaen,admin,115928,1764003406
Phatthaya,Phatthaya,12.9496,100.893,Thailand,TH,THA,Chon Buri,,115840,1764492695
San Ildefonso,San Ildefonso,15.0789,120.9419,Philippines,PH,PHL,Bulacan,,115713,1608068184
Los Ba§os,Los Banos,14.1667,121.2167,Philippines,PH,PHL,Laguna,,115353,1608920078
Iriga City,Iriga City,13.4167,123.4167,Philippines,PH,PHL,Camarines Sur,,114457,1608112592
Plaridel,Plaridel,14.8869,120.8569,Philippines,PH,PHL,Bulacan,,114432,1608000273
San Juan,San Juan,13.826,121.396,Philippines,PH,PHL,Batangas,minor,114068,1608474998
Bintulu,Bintulu,3.17,113.03,Malaysia,MY,MYS,Sarawak,,114058,1458164361
Tawau,Tawau,4.2448,117.8911,Malaysia,MY,MYS,Sabah,,113809,1458745722
Guiguinto,Guiguinto,14.8333,120.8833,Philippines,PH,PHL,Bulacan,,113415,1608949348
Bukittinggi,Bukittinggi,-0.3097,100.3753,Indonesia,ID,IDN,Sumatera Barat,,113326,1360552560
Manolo Fortich,Manolo Fortich,8.3697,124.8644,Philippines,PH,PHL,Bukidnon,,113200,1608811201
Mangaldan,Mangaldan,16.07,120.4025,Philippines,PH,PHL,Pangasinan,,113185,1608105622
Libmanan,Libmanan,13.7,123.0667,Philippines,PH,PHL,Camarines Sur,,112994,1608310701
Tayabas,Tayabas,14.0167,121.5833,Philippines,PH,PHL,Quezon,,112658,1608195528
Subic,Subic,14.9,120.2333,Philippines,PH,PHL,Zambales,,111912,1608633194
Baybay,Baybay,10.6833,124.8333,Philippines,PH,PHL,Leyte,,111848,1608960920
Daet,Daet,14.1167,122.95,Philippines,PH,PHL,Camarines Norte,admin,111700,1608562606
Laoag,Laoag,18.1951,120.5918,Philippines,PH,PHL,Ilocos Norte,admin,111651,1608043510
Rosario,Rosario,14.4167,120.85,Philippines,PH,PHL,Cavite,,110807,1608718800
Yenangyaung,Yenangyaung,20.4583,94.8732,Myanmar,MM,MMR,Magway,,110553,1104118838
Quezon,Quezon,7.7333,125.1,Philippines,PH,PHL,Bukidnon,,109624,1608600962
Naujan,Naujan,13.3233,121.3028,Philippines,PH,PHL,Oriental Mindoro,,109587,1608362602
Glan,Glan,5.8167,125.2,Philippines,PH,PHL,Sarangani,,109547,1608947570
Bayugan,Bayugan,8.7143,125.7481,Philippines,PH,PHL,Agusan del Sur,,109499,1608483872
Tacurong,Tacurong,6.6833,124.6667,Philippines,PH,PHL,Sultan Kudarat,,109319,1608479806
Talisay,Talisay,10.7333,122.9667,Philippines,PH,PHL,Negros Occidental,,108909,1608509888
Pulilan,Pulilan,14.902,120.849,Philippines,PH,PHL,Bulacan,,108836,1608740996
Cawayan,Cawayan,9.9667,122.6167,Philippines,PH,PHL,Negros Occidental,,108480,1608006603
Maramag,Maramag,7.7667,125,Philippines,PH,PHL,Bukidnon,,108293,1608275407
Lingayen,Lingayen,16.0167,120.2333,Philippines,PH,PHL,Pangasinan,admin,107728,1608464071
Carmen,Carmen,7.2,124.7833,Philippines,PH,PHL,Cotabato,,107603,1608666262
Kawit,Kawit,14.4333,120.9,Philippines,PH,PHL,Cavite,,107535,1608411157
Taungoo,Taungoo,18.9483,96.4179,Myanmar,MM,MMR,Bago,,106945,1104269989
Catbalogan,Catbalogan,11.7833,124.8833,Philippines,PH,PHL,Samar,admin,106440,1608878798
Nakhon Si Thammarat,Nakhon Si Thammarat,8.4363,99.963,Thailand,TH,THA,Nakhon Si Thammarat,admin,106322,1764409111
Tiaong,Tiaong,13.95,121.3167,Philippines,PH,PHL,Quezon,minor,106265,1608344411
Carmona,Carmona,14.3167,121.05,Philippines,PH,PHL,Cavite,,106256,1608216694
Raba,Raba,-8.4614,118.747,Indonesia,ID,IDN,Nusa Tenggara Barat,minor,106101,1360014952
Mang La,Mang La,14.3838,107.9833,Vietnam,VN,VNM,Kon Tum,,105489,1704178922
Malu§gun,Malungun,6.2667,125.2833,Philippines,PH,PHL,Sarangani,,105465,1608972592
Bulan,Bulan,12.6714,123.875,Philippines,PH,PHL,Sorsogon,,105190,1608516439
Sultan Kudarat,Sultan Kudarat,7.2333,124.25,Philippines,PH,PHL,Maguindanao,,105121,1608836609
Tagbilaran City,Tagbilaran City,9.65,123.85,Philippines,PH,PHL,Bohol,minor,104976,1608573250
Masbate,Masbate,12.3667,123.6167,Philippines,PH,PHL,Masbate,admin,104522,1608802236
Maumere,Maumere,-8.6189,122.2123,Indonesia,ID,IDN,Nusa Tenggara Timur,minor,104285,1360776014
Balanga,Balanga,14.6833,120.5333,Philippines,PH,PHL,Bataan,admin,104173,1608467104
Sindangan,Sindangan,8.2333,123,Philippines,PH,PHL,Zamboanga del Norte,,103952,1608537090
Biak,Biak,-1.18,136.08,Indonesia,ID,IDN,Papua,minor,103610,1360911386
V?nh Long,Vinh Long,10.255,105.9753,Vietnam,VN,VNM,V?nh Long,admin,103314,1704262419
Soasio,Soasio,0.6094,127.5697,Indonesia,ID,IDN,Maluku Utara,,103171,1360827216
San Rafael,San Rafael,14.95,120.9667,Philippines,PH,PHL,Bulacan,,103097,1608373072
Paniqui,Paniqui,15.6667,120.5833,Philippines,PH,PHL,Tarlac,,103003,1608244278
Parang,Parang,7.3744,124.2686,Philippines,PH,PHL,Maguindanao,,102914,1608326061
Guihul§gan,Guihulngan,10.1167,123.2667,Philippines,PH,PHL,Negros Oriental,,102656,1608628412
Ban Mangkon,Ban Mangkon,13.6138,100.6104,Thailand,TH,THA,Samut Prakan,,102291,1764800579
Teluk Intan,Teluk Intan,4.0259,101.0213,Malaysia,MY,MYS,Perak,,101659,1458126062
Sungai Penuh,Sungai Penuh,-2.0636,101.3961,Indonesia,ID,IDN,Jambi,,101325,1360337679
Santa Cruz,Santa Cruz,6.8333,125.4167,Philippines,PH,PHL,Davao del Sur,,101125,1608664930
Cavite City,Cavite City,14.4833,120.9,Philippines,PH,PHL,Cavite,,100674,1608639398
Calasiao,Calasiao,16.0167,120.3667,Philippines,PH,PHL,Pangasinan,,100471,1608768907
Lamitan,Lamitan,6.65,122.1333,Philippines,PH,PHL,Basilan,,100150,1608647250
Talipao,Talipao,5.976,121.1087,Philippines,PH,PHL,Sulu,minor,100088,1608300985
